run_id,app_type,microphone,camera,screen,duration,app,network,memory,energy,cpu
112-e,electron,1,1,0,2,2,13.650014898944,1.09115900537631,2.45062892107506,-1.20424943430205
113-e,electron,1,1,0,2,1,13.4596037868541,0.798982488205189,2.43981123689226,-1.06760763287119
114-e,electron,1,1,1,2,1,12.8322058906681,0.907774517384606,2.44279455015228,-1.15908697846184
115-e,electron,1,0,0,2,3,11.9261727567467,1.15101008616096,2.43930213865026,-1.28639597381768
116-e,electron,1,1,1,2,3,14.1937540243474,1.58899076357195,2.45480303239456,-1.06743982392645
117-e,electron,1,0,0,2,1,10.6078285394038,0.758627798817282,2.45173452873504,-1.38026870010419
118-e,electron,1,1,0,2,3,14.1815773643628,1.32946236262841,2.43260068429803,-1.12677681823121
119-e,electron,1,1,1,8,3,16.7149224298686,1.57337305605325,4.03995352728808,-1.06143969349656
12-e,electron,1,0,1,2,3,9.38145123257793,1.44789515389224,2.43984626340101,-1.13343876951882
120-e,electron,1,1,1,2,1,12.9886081106598,0.924385581128047,2.44662584983801,-1.15873757054243
121-e,electron,1,0,0,2,2,12.8124102747648,1.00324638347589,2.45569630795318,-1.32147357102252
122-e,electron,1,0,1,2,1,10.9634106758502,0.870720797310253,2.44808310908334,-1.22712772403839
123-e,electron,1,0,1,8,3,12.0315250004155,1.44481102951292,4.04055759125593,-1.1341621086003
124-e,electron,1,0,1,2,1,10.847141557793,0.870720797310253,2.44232061835911,-1.22603569148517
125-e,electron,1,0,0,8,1,11.4195713747307,0.711083153075793,4.04607974582023,-1.39394716030882
126-e,electron,1,0,0,8,2,15.2168112845313,0.973939835263244,4.05037422443053,-1.34398243494312
127-e,electron,1,0,0,2,1,10.6607995111534,0.754748553789743,2.44922371489799,-1.38261699180999
128-e,electron,1,1,1,2,2,15.1222363804345,1.4427713611568,2.42966611076484,-1.0399727019258
129-e,electron,1,0,1,2,2,14.7943200779979,1.2952175809255,2.42767020284111,-1.08986078626178
13-e,electron,1,1,0,8,3,16.740405325,1.32794092161699,4.0290803942029,-1.13032639187687
130-e,electron,1,0,0,2,1,10.5325024085006,0.754669862197757,2.45422154822266,-1.38300393749486
131-e,electron,1,0,0,8,1,10.5950743148701,0.746029329401528,4.03800031480242,-1.37687587063983
132-e,electron,1,1,0,8,3,16.9611549062407,1.32943858862634,4.05121456051879,-1.1207893726941
133-e,electron,1,1,0,8,3,16.5815351963717,1.28836864754572,4.05873838638823,-1.13298699490437
134-e,electron,1,1,0,2,2,13.7922070047608,1.3243876838858,2.43773841391314,-1.10339800648999
135-e,electron,1,1,0,2,1,13.4326953440939,0.796079443392376,2.4319440549707,-1.07481019264939
